Cod_setor,Situacao_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,homens,mulheres
250090805000015,8,22,47,48,22,19,21,25,3,2,0,0,0,0,19,17,12,1,2,0,20,30,25,14,9,15,7,12,10,5,3,1,0,8,3,0,0,0,0,260,162
250090805000016,1,15,33,24,11,2,1,12,1,2,0,0,0,0,14,13,3,1,1,0,34,27,19,10,1,3,11,20,11,4,2,0,0,14,1,1,0,0,0,133,158
250090805000017,1,31,34,30,9,6,3,7,2,2,0,0,0,0,29,14,10,0,0,0,36,29,21,5,1,3,25,27,11,3,0,0,0,9,7,1,0,0,0,177,178
250090805000018,1,36,40,27,15,8,8,12,0,1,0,0,0,0,36,17,7,3,0,0,27,24,20,7,5,3,17,20,9,5,0,0,0,7,2,0,0,0,0,210,146
250090805000019,1,21,22,23,15,6,2,16,2,0,0,0,0,0,19,8,7,1,0,0,22,16,13,6,5,5,22,15,8,5,1,0,0,7,0,1,0,0,0,142,126
250100505000001,1,46,41,45,27,6,7,8,1,0,0,0,0,0,45,19,15,0,1,1,25,23,18,12,7,5,14,14,7,0,0,0,0,11,4,1,0,0,0,262,141
250100505000002,1,45,52,42,22,13,6,14,3,2,0,0,0,0,42,19,8,3,1,0,27,33,28,11,5,14,15,19,13,9,3,0,0,8,6,1,0,0,0,272,192
250100505000003,1,26,35,33,15,5,5,7,1,1,1,0,0,0,25,14,11,2,0,0,16,8,6,6,5,1,6,8,0,0,1,0,0,8,3,0,1,1,0,181,70
250100505000004,1,21,27,28,14,7,5,6,1,0,1,0,0,0,20,12,1,2,0,1,23,20,24,12,2,1,7,12,9,1,3,0,0,11,1,0,0,0,0,146,126
250100505000005,1,34,34,50,28,9,3,13,3,0,0,0,0,0,31,14,9,3,0,0,20,22,17,12,4,5,17,10,11,5,0,0,0,10,1,1,0,0,0,231,135
250100505000006,1,24,34,36,19,10,5,8,0,0,0,0,0,0,24,14,8,2,0,0,23,13,6,7,2,4,16,18,5,1,2,0,0,5,2,2,2,1,0,184,109
250100505000007,1,43,44,41,25,5,1,11,1,1,0,0,0,0,42,29,12,2,0,0,30,22,17,10,7,3,24,18,8,3,1,1,0,12,4,1,1,0,0,257,162
250100505000008,8,14,25,10,8,6,8,8,1,2,0,0,0,0,13,9,3,1,0,0,16,19,24,29,11,16,9,13,11,2,6,1,0,3,1,0,0,0,0,108,161
250100505000009,8,14,20,21,13,6,3,6,1,1,0,0,0,0,13,6,4,1,1,0,3,4,2,3,2,2,2,1,3,0,0,0,0,2,0,0,0,0,0,110,24
